window_index,log_likelihood
0,-2.6404292583465576
1,-0.40151843428611755
2,-2.152585983276367
3,-0.2846386432647705
4,-2.0201733112335205
5,-1.807011604309082
6,-0.25982314348220825
7,-1.8477190732955933
8,-0.06905525922775269
9,-2.147266387939453
10,-1.2238216400146484
11,-0.25982314348220825
12,-0.25982314348220825
13,-1.3964158296585083
14,-2.274984121322632
15,-1.51338529586792
16,-1.6613730192184448
17,-2.745260000228882
18,-2.0909953117370605
19,-1.4026628732681274
20,-2.653048276901245
21,-1.6504340171813965
22,-5.429748058319092
23,-1.9508928060531616
24,-1.4108247756958008
25,-3.2004988193511963
26,-0.45090213418006897
27,-0.45090213418006897
28,-0.45090213418006897
29,-0.45090213418006897
30,-0.5513579845428467
31,-3.002822160720825
32,-2.393723249435425
33,-2.082350492477417
34,-0.2846386432647705
35,-1.0743597745895386
36,-0.8870169520378113
37,-1.0052248239517212
38,-0.7934326529502869
39,-1.8430982828140259
40,-1.4017786979675293
41,-0.6456077694892883
42,-1.5147229433059692
43,-0.8328151702880859
44,-0.6456077694892883
45,-1.362083077430725
46,-0.9207348227500916
47,-0.8328151702880859
48,-1.270621657371521
49,-0.8328151702880859
50,-1.26630437374115
51,-0.9145100712776184
52,-0.8328151702880859
53,-1.500311017036438
54,-4.566850662231445
55,-2.296315908432007
56,-1.3905558586120605
57,-1.7207969427108765
58,-2.2859532833099365
59,-3.810544967651367
60,-1.8944536447525024
61,-1.7765717506408691
62,-3.0342915058135986
63,-1.4225550889968872
64,-0.7460057139396667
65,-1.8031524419784546
66,-0.9985398650169373
67,-0.48641908168792725
68,-0.3062519431114197
69,-3.4838411808013916
70,-3.8849189281463623
71,-2.7969446182250977
72,-0.06905525922775269
73,-0.711544930934906
74,-1.095957636833191
75,-0.8494871258735657
76,-0.9062545895576477
77,-1.532697081565857
78,-0.40151843428611755
79,-1.1771445274353027
80,-2.653759002685547
81,-0.7648277878761292
82,-5.186739444732666
83,-1.0493825674057007
84,-1.0493825674057007
85,-1.0493825674057007
86,-1.0493825674057007
87,-1.0493825674057007
88,-1.0493825674057007
89,-1.0493825674057007
90,-0.5385991930961609
91,-1.0250930786132812
92,-0.2846386432647705
93,-2.0513317584991455
94,-2.2230827808380127
95,-0.7185119986534119
96,-1.4066134691238403
97,-0.35205817222595215
98,-0.6509088277816772
99,-0.38703081011772156
100,-2.9351584911346436
101,-1.6788777112960815
102,-1.9277383089065552
103,-0.5707018971443176
104,-4.359181880950928
105,-0.3552621901035309
106,-1.9686511754989624
107,-2.8160016536712646
108,-3.7990055084228516
109,-2.707770586013794
110,-2.418224334716797
111,-2.0770013332366943
112,-2.327427387237549
113,-0.33397218585014343
114,-2.7673494815826416
115,-1.3637923002243042
116,-3.3635222911834717
