window_index,negative_log_likelihood
0,2.6467607021331787
1,0.364477276802063
2,1.9349151849746704
3,0.24164950847625732
4,2.3681020736694336
5,1.6058274507522583
6,0.2694064676761627
7,1.9777326583862305
8,0.1018427386879921
9,2.5084071159362793
10,1.1778812408447266
11,0.2694064676761627
12,0.2694064676761627
13,1.6235283613204956
14,2.017643928527832
15,1.7450555562973022
16,1.6855977773666382
17,1.7959175109863281
18,2.0249059200286865
19,1.1607335805892944
20,2.41847825050354
21,1.7047075033187866
22,6.126789093017578
23,1.5132700204849243
24,1.219279170036316
25,2.8704185485839844
26,0.43530428409576416
27,0.43530428409576416
28,0.43530428409576416
29,0.43530428409576416
30,0.5309099555015564
31,3.9267208576202393
32,2.088677406311035
33,2.336750030517578
34,0.24164950847625732
35,0.9530437588691711
36,0.9373679161071777
37,1.0728305578231812
38,0.9296086430549622
39,1.6560611724853516
40,1.1576972007751465
41,0.6071216464042664
42,1.4673242568969727
43,0.7764717936515808
44,0.6071216464042664
45,1.2793487310409546
46,0.8952897191047668
47,0.7764717936515808
48,1.2861442565917969
49,0.7764717936515808
50,1.388891339302063
51,1.092746615409851
52,0.7764717936515808
53,1.5781577825546265
54,4.319692134857178
55,2.391991376876831
56,1.5726760625839233
57,1.9028077125549316
58,2.15731143951416
59,2.744985818862915
60,2.0641255378723145
61,1.8693004846572876
62,2.9622814655303955
63,1.5952166318893433
64,0.792980968952179
65,1.706567406654358
66,0.9835236668586731
67,0.5012009739875793
68,0.2824842035770416
69,2.7160232067108154
70,3.5764596462249756
71,2.945298910140991
72,0.1018427386879921
73,0.7635135650634766
74,1.3000024557113647
75,1.0119785070419312
76,0.8118000626564026
77,1.474593997001648
78,0.364477276802063
79,1.2297067642211914
80,2.3079679012298584
81,0.838904082775116
82,4.249727249145508
83,1.1713963747024536
84,1.1713963747024536
85,1.1713963747024536
86,1.1713963747024536
87,1.1713963747024536
88,1.1713963747024536
89,1.1713963747024536
90,0.5080329775810242
91,1.8090696334838867
92,0.24164950847625732
93,2.6447527408599854
94,2.1614999771118164
95,0.6613776087760925
96,1.2282806634902954
97,0.32850006222724915
98,0.6847670078277588
99,0.25253358483314514
100,3.2091662883758545
101,1.9923582077026367
102,1.7855759859085083
103,0.6363157629966736
104,4.1716790199279785
105,0.4457394778728485
106,1.8022422790527344
107,2.9997570514678955
108,4.157890319824219
109,2.4009950160980225
110,1.9189643859863281
111,2.1648619174957275
112,2.089522361755371
113,0.4739222824573517
114,2.7946624755859375
115,1.357650637626648
116,3.0109176635742188
117,3.9937851428985596
118,3.7935993671417236
119,3.220144033432007
120,2.1188364028930664
121,2.0312469005584717
122,4.088979244232178
123,3.313309907913208
124,3.7774171829223633
125,3.350956678390503
126,1.9349151849746704
127,0.8447384238243103
